Sentiment Lables,Average Review Rating
Positive: 0.26666666666666666 Negative: 0.7333333333333333,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.5 Negative: 0.5,5
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.18181818181818182 Negative: 0.8181818181818182,3
Positive: 0.25 Negative: 0.75,3
Positive: 0.5662650602409639 Negative: 0.43373493975903615,4
Positive: 0.425 Negative: 0.575,4
Positive: 0.2 Negative: 0.8,3
Positive: 0.0 Negative: 1.0,1
Positive: 0.2916666666666667 Negative: 0.7083333333333334,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Positive: 0.7777777777777778 Negative: 0.2222222222222222,4
Positive: 0.375 Negative: 0.625,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.7352941176470589 Negative: 0.2647058823529412,4
Positive: 0.6 Negative: 0.4,4
Positive: 0.4 Negative: 0.6,3
Positive: 0.46153846153846156 Negative: 0.5384615384615384,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.42857142857142855 Negative: 0.5714285714285714,3
Positive: 0.4666666666666667 Negative: 0.5333333333333333,4
Positive: 0.125 Negative: 0.875,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.7648401826484018 Negative: 0.23515981735159816,4
Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.6086956521739131 Negative: 0.391304347826087,4
Positive: 0.1111111111111111 Negative: 0.8888888888888888,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.5384615384615384 Negative: 0.46153846153846156,4
Positive: 0.0 Negative: 1.0,4
Positive: 0.7941176470588235 Negative: 0.20588235294117646,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.75 Negative: 0.25,4
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.5 Negative: 0.5,5
Positive: 0.0 Negative: 1.0,3
Positive: 0.4117647058823529 Negative: 0.5882352941176471,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.2 Negative: 0.8,2
Positive: 0.4318181818181818 Negative: 0.5681818181818182,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.375 Negative: 0.625,4
Positive: 0.5517241379310345 Negative: 0.4482758620689655,4
Positive: 0.5 Negative: 0.5,3
Positive: 0.25 Negative: 0.75,3
Positive: 0.28125 Negative: 0.71875,3
Positive: 0.4 Negative: 0.6,4
Positive: 0.5714285714285714 Negative: 0.42857142857142855,3
Positive: 0.4523809523809524 Negative: 0.5476190476190477,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.0 Negative: 1.0,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.7857142857142857 Negative: 0.21428571428571427,4
Positive: 0.34375 Negative: 0.65625,3
Positive: 0.6153846153846154 Negative: 0.38461538461538464,4
Positive: 0.6 Negative: 0.4,4
Positive: 0.4 Negative: 0.6,2
Positive: 0.5 Negative: 0.5,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.8695652173913043 Negative: 0.13043478260869565,5
Positive: 0.6875 Negative: 0.3125,4
Positive: 0.2727272727272727 Negative: 0.7272727272727273,3
Positive: 0.47058823529411764 Negative: 0.5294117647058824,4
Positive: 0.5454545454545454 Negative: 0.45454545454545453,4
Positive: 0.16666666666666666 Negative: 0.8333333333333334,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.0 Negative: 1.0,2
Positive: 0.0 Negative: 1.0,3
Positive: 0.34782608695652173 Negative: 0.6521739130434783,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.8 Negative: 0.2,5
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.0625 Negative: 0.9375,2
Positive: 0.75 Negative: 0.25,5
Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.40625 Negative: 0.59375,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.8 Negative: 0.2,4
Positive: 0.7241379310344828 Negative: 0.27586206896551724,4
Positive: 0.6 Negative: 0.4,5
Positive: 0.0 Negative: 1.0,2
Positive: 0.5 Negative: 0.5,4
Positive: 0.726775956284153 Negative: 0.273224043715847,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.0 Negative: 1.0,2
Positive: 0.9333333333333333 Negative: 0.06666666666666667,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.6481481481481481 Negative: 0.35185185185185186,4
Positive: 0.38461538461538464 Negative: 0.6153846153846154,3
Positive: 0.7159090909090909 Negative: 0.2840909090909091,4
Positive: 0.4444444444444444 Negative: 0.5555555555555556,4
Positive: 0.75 Negative: 0.25,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.0 Negative: 1.0,2
Positive: 0.0 Negative: 1.0,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.25 Negative: 0.75,3
Positive: 0.5833333333333334 Negative: 0.4166666666666667,4
Positive: 0.4444444444444444 Negative: 0.5555555555555556,3
Positive: 0.27586206896551724 Negative: 0.7241379310344828,3
Positive: 0.42857142857142855 Negative: 0.5714285714285714,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.5 Negative: 0.5,5
